jichang,shijian,xuhao,lichangliuliang
ZBAA,10,20,7
ZBAA,10,21,9
ZBAA,10,22,10
ZBAA,10,23,10
ZBAA,10,24,9
ZBAA,10,25,8
ZBAA,10,26,7
ZBAA,10,27,9
ZBAA,10,28,9
ZBAA,10,29,5
ZBAA,10,30,10
ZBAA,10,31,10
ZBAA,10,32,7
ZBAA,10,33,10
ZBAA,10,34,7
ZBAA,10,35,5
ZBAA,10,36,6
ZBAA,10,37,8
ZBAA,10,38,5
ZBAA,10,39,8
ZBAA,10,40,9
ZBAA,10,41,8
ZBAA,10,42,6
ZBAA,10,43,5
ZBAA,10,44,8
ZBAA,10,45,6
ZBAA,10,46,7
ZBAA,10,47,7
ZBAA,10,48,6
ZBAA,10,49,9
ZBAA,10,50,9
ZBAA,11,1,11
ZBAA,11,2,11
ZBAA,11,3,8
ZBAA,11,4,6
ZBAA,11,5,7
ZBAA,11,6,7
ZBAA,11,7,5
ZBAA,11,8,7
ZBAA,11,9,12
ZBAA,11,10,8
ZBAA,11,11,8
ZBAA,11,12,5
ZBAA,11,13,8
ZBAA,11,14,9
ZBAA,11,15,5
ZBAA,11,16,6
ZBAA,11,17,7
ZBAA,11,18,8
ZBAA,11,19,8
ZBAA,11,20,7
ZBAA,11,21,9
ZBAA,11,22,7
ZBAA,11,23,5
ZBAA,11,24,7
ZBAA,11,25,5
ZBAA,11,26,5
ZBAA,11,27,8
ZBAA,11,28,9
ZBAA,11,29,6
ZBAA,11,30,7
ZBAA,11,31,7
ZBAA,11,32,11
ZBAA,11,33,7
ZBAA,11,34,8
ZBAA,11,35,6
ZBAA,11,36,7
ZBAA,11,37,9
ZBAA,11,38,7
ZBAA,11,39,6
ZBAA,11,40,8
ZBAA,11,41,9
ZBAA,11,42,6
ZBAA,11,43,8
ZBAA,11,44,8
ZBAA,11,45,6
ZBAA,11,46,10
ZBAA,11,47,8
ZBAA,11,48,10
ZBAA,11,49,9
ZBAA,12,2,8
ZBAA,12,3,8
ZBAA,12,4,7
ZBAA,12,5,7
ZBAA,12,6,5
ZBAA,12,7,5
ZBAA,12,8,5
ZBAA,12,9,7
ZBAA,12,10,6
ZBAA,12,11,8
ZBAA,12,12,5
ZBAA,12,13,6
ZBAA,12,14,6
ZBAA,12,15,6
ZBAA,12,16,7
ZBAA,12,18,5
ZBAA,12,19,7
ZBAA,12,20,6
ZBAA,12,21,5
ZBAA,12,22,6
ZBAA,12,23,8
ZBAA,12,24,5
ZBAA,12,25,5
ZBAA,12,26,8
ZBAA,12,28,8
ZBAA,12,29,7
ZBAA,12,31,5
ZBAA,12,32,9
ZBAA,12,33,5
ZBAA,12,35,5
ZBAA,12,36,8
ZBAA,12,38,6
ZBAA,12,39,8
ZBAA,12,40,8
ZBAA,12,41,5
ZBAA,12,42,6
