,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
83,ZBAA,42,14,1,4,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
84,ZBAA,42,14,1,5,0.04,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
85,ZBAA,42,14,1,6,0.04,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
86,ZBAA,42,14,1,7,0.04,0.8999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
87,ZBAA,42,14,1,8,0.06,0.8599999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
88,ZBAA,42,14,1,9,0.12,0.7999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
89,ZBAA,42,14,1,10,0.2,0.6799999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
90,ZBAA,42,14,1,11,0.16,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
91,ZBAA,42,14,1,12,0.08,0.32,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
92,ZBAA,42,14,1,13,0.08,0.24,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
93,ZBAA,42,14,1,14,0.1,0.16,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
94,ZBAA,42,14,1,15,0.06,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
95,ZBAA,43,13,1,5,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
96,ZBAA,43,13,1,6,0.02,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
97,ZBAA,43,13,1,7,0.04,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
98,ZBAA,43,13,1,8,0.14,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
99,ZBAA,43,13,1,9,0.16,0.76,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
100,ZBAA,43,13,1,10,0.16,0.6000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
101,ZBAA,43,13,1,11,0.08,0.4400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
102,ZBAA,43,13,1,12,0.14,0.3600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
103,ZBAA,43,13,1,13,0.08,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
