,shanqu,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
98,ZBAAAR04,43,20,1,18,0.04,0.24,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
99,ZBAAAR04,43,20,1,19,0.04,0.2,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
100,ZBAAAR04,43,20,1,20,0.06,0.16,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
101,ZBAAAR04,43,20,1,21,0.02,0.1,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
102,ZBAAAR04,43,20,1,22,0.02,0.08,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
103,ZBAAAR04,43,20,1,23,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
104,ZBAAAR04,43,20,1,24,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
105,ZBAAAR04,44,18,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
106,ZBAAAR04,44,18,1,9,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
107,ZBAAAR04,44,18,1,11,0.12,0.96,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
108,ZBAAAR04,44,18,1,12,0.04,0.84,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
